canonical_variant,canonical_target
Itza Tlaloc Quetzacoatl Curiel Cabral,Itza Tláloc Quetzalcóatl Curiel Cabral
Alejando Villagómez Amezcua,Alejandro Villagómez Amezcua
Carlos Villalta Perdomo,Carlos Javier Vilalta Perdomo
Carlos Vilalta Perdomo,Carlos Javier Vilalta Perdomo
Martha Solange Maqueo Ramírez,María Solange Maqueo Ramírez
Rodolfo Gracía Del Castillo,Rodolfo García Del Castillo
Mauricio I Dussauge Laguna,Mauricio Iván Dussauge Laguna
Guillermo M Cejudo,Guillermo Miguel Cejudo Ramírez
Guillermo M Cejudo Ramírez,Guillermo Miguel Cejudo Ramírez
Laura H Atuesta Becerra,Laura Helena Atuesta Becerra
Manlio F Castillo Salas,Manlio Felipe Castillo Salas
Rodrigo Velázquez Velarde,Rodrigo Velázquez López Velarde
Ximena Medellín Urquiaga,Ximena María Medellín Urquiaga
Hector M Bravo Pérez,Héctor Manuel Bravo Pérez
Jorge A Schiavon Uriegas,Jorge Alberto Schiavon Uriegas
Allison Rowland Franzen,Allison Marie Rowland Franzen
Angélica Ospina Escobar,Angélica María Ospina Escobar
Jorge Chabat Madrid,Jorge Luis Chabat Madrid
Rafael Rojas Gutiérrez,Rafael Elías Rojas Gutiérrez
Sandra J Ley Gutiérrez,Sandra Jessica Ley Gutiérrez
Carlos A Pérez Ricart,Carlos Alfonso Pérez Ricart
Víctor Figueras Zanabria,Víctor Manuel Figueras Zanabria
Gustavo Fondevila,Gustavo Javier Fondevila Pérez
Gustavo Javier Fondevila,Gustavo Javier Fondevila Pérez
Gustavo Fondevila Pérez,Gustavo Javier Fondevila Pérez
Luis De La Calle Robles,Luis Miguel De La Calle Robles
Samantha Ortiz Casillas,Samantha Orlena Ortiz Casillas
Claudia Maldonado Trujillo,Claudia Vanessa Maldonado Trujillo
Andreas Schedler,Andreas Paul Schedler
Oliver Meza Canales,Oliver David Meza Canales
Edgar Ramírez De La Cruz,Edgar Eugenio Ramírez De La Cruz
Gerardo Maldonado Hernández,Gerardo De Jesús Maldonado Hernández
Víctor Hernández Huerta,Víctor Antonio Hernández Huerta
Adan L Martinez Cruz,Adán Leobardo Martínez Cruz
Matthew Kocher,Matthew Adam Kocher
Carlos Heredia Zubieta,Carlos Antonio Heredia Zubieta
Luis Barrón Córdova,Luis Felipe Barrón Córdova
Ana Díaz Aldret,Ana Elisa Díaz Aldret
Mauricio Rivera Celestino,Mauricio Alejandro Rivera Celestino
Héctor Núñez Amórtegui,Héctor Mauricio Núñez Amórtegui
Michael Sauter Mistele,Michael Johannes Sauter Mistele
Joy Langston,Joy Kathryn Langston Hawkes
Joy Kathryn Langston,Joy Kathryn Langston Hawkes
Joy Langston Hawkes,Joy Kathryn Langston Hawkes
Julio Ríos Figueroa,Julio Antonio Ríos Figueroa
Brasil Acosta Peña,Brasil Alberto Acosta Peña
Ricardo Smith Ramírez,Ricardo Alejandro Smith Ramírez
Aldo Ponce Ugolini,Aldo Fernando Ponce Ugolini
Antón Sarabia,Arturo Antón Sarabia
Andrew Paxman,Andrew William Paxman
Florian Chávez Juárez,Florian Wendelspiess Chávez Juárez
Kurt Francisco Unger Rubín,Kurt Unger Rubín
Jean Meyer Barth,Jean André Joseph Meyer Barth
María Inclán,María De La Luz Inclán
Grisel Salazar Rebolledo,María Grisel Salazar Rebolledo
Narayani Lasala Blanco,María Narayani Lasala Blanco
Andrea Mendoza Enríquez,Olivia Andrea Mendoza Enríquez
Allyson L Benton,Allyson Lucinda Benton
Rosario Aguilar Pariente,María Del Rosario Aguilar Pariente
Soledad Jiménez Tovar,Anabel Alejandra Soledad Jiménez Tovar
Atanacio Valencia Mendoza,Atanasio Valencia Mendoza
Ma Teresa Guijarro Arrillaga,María Teresa Guijarro Arrillaga
Maite Guijarro Arrillaga,María Teresa Guijarro Arrillaga
